Town/County,Year,Industry Name,Measure Type,Value
Connecticut,2014,Retail Trade,US Dollars,32051
Connecticut,2014,Health Care And Social Assistance,US Dollars,50052
Connecticut,2014,Accommodation And Food Services,US Dollars,19538
Cornwall,2014,Local/Municipal Government,US Dollars,33206.344828
Cornwall,2014,Construction,US Dollars,45610.595745
Cornwall,2014,Manufacturing,US Dollars,-9999
Cornwall,2014,Retail Trade,US Dollars,34116.110429
Cornwall,2014,Accommodation And Food Services,US Dollars,14646.304147
Cornwall,2014,Other Services (Except Public Admin),US Dollars,30907.366516
Coventry,2014,Local/Municipal Government,US Dollars,48153.39668
Coventry,2014,Construction,US Dollars,46406.776504
Coventry,2014,Manufacturing,US Dollars,38120.893058
Coventry,2014,Retail Trade,US Dollars,23406.641588
Coventry,2014,Health Care & Social Assistance,US Dollars,35775.475635
Coventry,2014,Accommodation And Food Services,US Dollars,13187.52048
Cromwell,2014,Local/Municipal Government,US Dollars,51944.417835
Cromwell,2014,Construction,US Dollars,74064.562413
Cromwell,2014,Manufacturing,US Dollars,63488.778154
Cromwell,2014,Retail Trade,US Dollars,25691.530604
Cromwell,2014,Health Care & Social Assistance,US Dollars,42568.385772
Cromwell,2014,Accommodation And Food Services,US Dollars,17356.672678
Danbury,2014,Local/Municipal Government,US Dollars,53422.084953
Danbury,2014,Construction,US Dollars,57914.763744
Danbury,2014,Manufacturing,US Dollars,121191.65096
Danbury,2014,Retail Trade,US Dollars,30659.44629
Danbury,2014,Health Care & Social Assistance,US Dollars,62057.565024
Danbury,2014,Accommodation And Food Services,US Dollars,20932.947252
Darien,2014,Local/Municipal Government,US Dollars,68287.263333
Darien,2014,Construction,US Dollars,61443.205674
Darien,2014,Manufacturing,US Dollars,98721.142857
Darien,2014,Retail Trade,US Dollars,43365.581583
Darien,2014,Accommodation And Food Services,US Dollars,21189.222982
Darien,2014,Other Services (Except Public Admin),US Dollars,35419.928477
Deep River,2014,Local/Municipal Government,US Dollars,45891.330864
Deep River,2014,Construction,US Dollars,36995.875
Deep River,2014,Manufacturing,US Dollars,49240.065322
Deep River,2014,Retail Trade,US Dollars,25741.615486
Deep River,2014,Health Care & Social Assistance,US Dollars,32009.984375
Deep River,2014,Accommodation And Food Services,US Dollars,12901.598802
Derby,2014,Local/Municipal Government,US Dollars,47542.778526
Derby,2014,Construction,US Dollars,50897.775057
Derby,2014,Manufacturing,US Dollars,39662.559486
Derby,2014,Retail Trade,US Dollars,23234.27915
Derby,2014,Health Care & Social Assistance,US Dollars,48739.758423
Derby,2014,Accommodation And Food Services,US Dollars,13153.719126
Durham,2014,Local/Municipal Government,US Dollars,53527.951125
Durham,2014,Construction,US Dollars,51160.148334
Durham,2014,Manufacturing,US Dollars,76262.313006
Durham,2014,Retail Trade,US Dollars,19893.413567
Durham,2014,Health Care & Social Assistance,US Dollars,31875.261845
Durham,2014,Accommodation And Food Services,US Dollars,12469.162562
East Granby,2014,Construction,US Dollars,65621.928571
East Granby,2014,Manufacturing,US Dollars,70255.82826
East Granby,2014,Wholesale Trade,US Dollars,89749.911746
East Granby,2014,Retail Trade,US Dollars,31548.700102
East Granby,2014,Transportation & Warehousing,US Dollars,53619.879509
East Granby,2014,Administrative & Waste Management,US Dollars,35883.2054
East Haddam,2014,Local/Municipal Government,US Dollars,47299.463335
East Haddam,2014,Construction,US Dollars,48058.554804
East Haddam,2014,Manufacturing,US Dollars,56806.348837
East Haddam,2014,Retail Trade,US Dollars,32340.871015
East Haddam,2014,Health Care & Social Assistance,US Dollars,31504.529696
East Haddam,2014,Accommodation And Food Services,US Dollars,17539.247889
East Hampton,2014,Local/Municipal Government,US Dollars,53013.380918
East Hampton,2014,Construction,US Dollars,45804.912442
East Hampton,2014,Manufacturing,US Dollars,66418.043344
East Hampton,2014,Retail Trade,US Dollars,26310.363308
East Hampton,2014,Health Care & Social Assistance,US Dollars,31651.410323
East Hampton,2014,Accommodation And Food Services,US Dollars,13747.456963
East Hartford,2014,Construction,US Dollars,62187.603782
East Hartford,2014,Manufacturing,US Dollars,-9999
East Hartford,2014,Retail Trade,US Dollars,37721.239833
East Hartford,2014,Administrative & Waste Management,US Dollars,35528.740868
East Hartford,2014,Health Care & Social Assistance,US Dollars,36934.496084
East Haven,2014,Local/Municipal Government,US Dollars,46407.76534
East Haven,2014,Construction,US Dollars,45409.886901
East Haven,2014,Manufacturing,US Dollars,45498.68425
East Haven,2014,Retail Trade,US Dollars,31853.443556
East Haven,2014,Health Care & Social Assistance,US Dollars,33166.897941
East Haven,2014,Accommodation And Food Services,US Dollars,17169.42008
East Lyme,2014,Local/Municipal Government,US Dollars,45987.051251
East Lyme,2014,Construction,US Dollars,52775.593807
East Lyme,2014,Manufacturing,US Dollars,56794.977617
East Lyme,2014,Retail Trade,US Dollars,33233.021704
East Lyme,2014,Health Care & Social Assistance,US Dollars,35179.912946
East Lyme,2014,Accommodation And Food Services,US Dollars,15065.911659
East Windsor,2014,Construction,US Dollars,76317.239626
East Windsor,2014,Manufacturing,US Dollars,51876.270789
East Windsor,2014,Wholesale Trade,US Dollars,59243.240719
East Windsor,2014,Retail Trade,US Dollars,25188.524257
East Windsor,2014,Administrative & Waste Management,US Dollars,21533.283063
East Windsor,2014,Accommodation And Food Services,US Dollars,16987.150447
Eastford,2014,Local/Municipal Government,US Dollars,32403.075297
Eastford,2014,Construction,US Dollars,36769.392491
Eastford,2014,Manufacturing,US Dollars,55306.763892
Eastford,2014,Retail Trade,US Dollars,-9999
Eastford,2014,Accommodation And Food Services,US Dollars,14743.724138
Eastford,2014,Other Services (Except Public Admin),US Dollars,32752.864865
Easton,2014,Local/Municipal Government,US Dollars,46237.242595
Easton,2014,Construction,US Dollars,40731.071161
Easton,2014,Manufacturing,US Dollars,-9999
Easton,2014,Retail Trade,US Dollars,-9999
Easton,2014,Administrative & Waste Management,US Dollars,36324.310536
Easton,2014,Health Care & Social Assistance,US Dollars,17827.79936
Ellington,2014,Local/Municipal Government,US Dollars,43005.831023
Ellington,2014,Construction,US Dollars,53100.685714
Ellington,2014,Manufacturing,US Dollars,61818.795465
Ellington,2014,Retail Trade,US Dollars,38013.018624
Ellington,2014,Health Care & Social Assistance,US Dollars,31946.099876
Ellington,2014,Other Services (Except Public Admin),US Dollars,17329.116719
Enfield,2014,Construction,US Dollars,58649.47651
Enfield,2014,Manufacturing,US Dollars,59278.311751
Enfield,2014,Retail Trade,US Dollars,29210.318208
Enfield,2014,Finance And Insurance,US Dollars,122123.40993
Enfield,2014,Health Care & Social Assistance,US Dollars,40678.761343
Enfield,2014,Accommodation And Food Services,US Dollars,16637.752462
Essex,2014,Construction,US Dollars,76548.058735
Essex,2014,Manufacturing,US Dollars,58217.643178
Essex,2014,Wholesale Trade,US Dollars,73695.498658
Essex,2014,Retail Trade,US Dollars,26541.232184
